instant,dteday_by_hour,season_by_hour,yr_by_hour,mnth_by_hour,hr,holiday_by_hour,weekday_by_hour,workingday_by_hour,weathersit_by_hour,temp_by_hour,atemp_by_hour,hum_by_hour,windspeed_by_hour,casual_by_hour,registered_by_hour,cnt_by_hour,dteday_by_day,season_by_day,yr_by_day,mnth_by_day,holiday_by_day,weekday_by_day,workingday_by_day,weathersit_by_day,temp_by_day,atemp_by_day,hum_by_day,windspeed_by_day,casual_by_day,registered_by_day,cnt_by_day
15,2011-01-15,4,0,1,14,0,6,0,2,18.86,22.725,72.0,19.0012,35,71,106,2011-01-15,4.0,0.0,1.0,0.0,6.0,0.0,2.0,9.566653,12.4056,49.875,10.583521,222.0,1026.0,1248.0
16,2011-01-16,4,0,1,15,0,6,0,2,18.04,21.97,77.0,19.999499999999998,40,70,110,2011-01-16,4.0,0.0,1.0,0.0,0.0,0.0,1.0,9.498347,11.71085,48.375,12.625010999999999,251.0,953.0,1204.0
17,2011-01-17,4,0,1,16,0,6,0,2,17.22,21.21,82.0,19.999499999999998,41,52,93,2011-01-17,4.0,0.0,1.0,1.0,1.0,0.0,2.0,7.209153,8.838550000000001,53.75,12.999139,117.0,883.0,1000.0
18,2011-01-18,4,0,1,17,0,6,0,2,18.04,21.97,82.0,19.0012,15,52,67,2011-01-18,4.0,0.0,1.0,0.0,2.0,1.0,2.0,8.883347,11.61665,86.16669999999999,9.833924999999999,9.0,674.0,683.0
19,2011-01-19,4,0,1,18,0,6,0,3,17.22,21.21,88.0,16.997899999999998,9,26,35,2011-01-19,4.0,0.0,1.0,0.0,3.0,1.0,2.0,11.979134,14.921100000000001,74.1739,13.957239,78.0,1572.0,1650.0
20,2011-01-20,4,0,1,19,0,6,0,3,17.22,21.21,88.0,16.997899999999998,6,31,37,2011-01-20,4.0,0.0,1.0,0.0,4.0,1.0,2.0,10.728347,12.7525,53.833299999999994,13.125568,83.0,1844.0,1927.0
21,2011-01-21,4,0,1,20,0,6,0,2,16.400000000000002,20.455000000000002,87.0,16.997899999999998,11,25,36,2011-01-21,4.0,0.0,1.0,0.0,5.0,1.0,1.0,7.2775,7.89165,45.7083,23.667214,75.0,1468.0,1543.0
22,2011-01-22,4,0,1,21,0,6,0,2,16.400000000000002,20.455000000000002,87.0,12.998000000000001,3,31,34,2011-01-22,4.0,0.0,1.0,0.0,6.0,0.0,1.0,2.4243464,3.9534800000000003,40.0,11.52199,93.0,888.0,981.0
23,2011-01-23,4,0,1,22,0,6,0,2,16.400000000000002,20.455000000000002,94.0,15.001299999999999,11,17,28,2011-01-23,4.0,0.0,1.0,0.0,0.0,0.0,1.0,3.9573897000000002,4.941955,43.6522,16.5222,150.0,836.0,986.0
24,2011-01-24,4,0,1,23,0,6,0,2,18.86,22.725,88.0,19.999499999999998,15,24,39,2011-01-24,4.0,0.0,1.0,0.0,1.0,1.0,1.0,3.9930433,5.8965,49.173899999999996,10.60811,86.0,1330.0,1416.0
25,2011-01-25,4,0,1,0,0,0,0,2,18.86,22.725,88.0,19.999499999999998,4,13,17,2011-01-25,4.0,0.0,1.0,0.0,2.0,1.0,2.0,9.162598000000001,11.7263,61.695699999999995,8.696332,186.0,1799.0,1985.0
26,2011-01-26,4,0,1,1,0,0,0,2,18.04,21.97,94.0,16.997899999999998,1,16,17,2011-01-26,4.0,0.0,1.0,0.0,3.0,1.0,3.0,8.9175,10.18,86.25,19.68795,34.0,472.0,506.0
27,2011-01-27,4,0,1,2,0,0,0,2,17.22,21.21,100.0,19.0012,1,8,9,2011-01-27,4.0,0.0,1.0,0.0,4.0,1.0,1.0,7.995,10.985,68.75,7.627078999999999,15.0,416.0,431.0
28,2011-01-28,4,0,1,3,0,0,0,2,18.86,22.725,94.0,12.998000000000001,2,4,6,2011-01-28,4.0,0.0,1.0,0.0,5.0,1.0,2.0,8.342597999999999,11.165849999999999,79.30430000000001,8.2611,38.0,1129.0,1167.0
29,2011-01-29,4,0,1,4,0,0,0,2,18.86,22.725,94.0,12.998000000000001,2,1,3,2011-01-29,4.0,0.0,1.0,0.0,6.0,0.0,1.0,8.057402,10.606300000000001,65.17389999999999,9.739455,123.0,975.0,1098.0
30,2011-01-30,4,0,1,6,0,0,0,3,17.22,21.21,77.0,19.999499999999998,0,2,2,2011-01-30,4.0,0.0,1.0,0.0,0.0,0.0,1.0,8.877402,12.5161,72.2174,4.956834199999999,140.0,956.0,1096.0
31,2011-01-31,4,0,1,7,0,0,0,2,16.400000000000002,20.455000000000002,76.0,12.998000000000001,0,1,1,2011-01-31,4.0,0.0,1.0,0.0,1.0,1.0,2.0,7.414153,9.3125,60.375,12.541864,42.0,1459.0,1501.0
32,2011-02-01,4,0,1,8,0,0,0,3,16.400000000000002,20.455000000000002,71.0,15.001299999999999,0,8,8,2011-02-01,4.0,0.0,2.0,0.0,2.0,1.0,2.0,7.8791340000000005,11.7265,82.9565,3.565271,47.0,1313.0,1360.0
33,2011-02-02,4,0,1,9,0,0,0,2,15.58,19.695,76.0,15.001299999999999,1,19,20,2011-02-02,4.0,0.0,2.0,0.0,3.0,1.0,2.0,10.66,12.72085,77.5417,17.708636,72.0,1454.0,1526.0
34,2011-02-03,4,0,1,10,0,0,0,2,14.76,17.424999999999997,81.0,15.001299999999999,7,46,53,2011-02-03,4.0,0.0,2.0,0.0,4.0,1.0,1.0,7.665237,8.8939,43.7826,18.609384,61.0,1489.0,1550.0
35,2011-02-04,4,0,1,11,0,0,0,2,14.76,16.665,71.0,16.997899999999998,16,54,70,2011-02-04,4.0,0.0,2.0,0.0,5.0,1.0,2.0,8.663464,11.429350000000001,58.521699999999996,8.565213,88.0,1620.0,1708.0
36,2011-02-05,4,0,1,12,0,0,0,2,14.76,16.665,66.0,19.999499999999998,20,73,93,2011-02-05,4.0,0.0,2.0,0.0,6.0,0.0,2.0,9.566653,12.152899999999999,92.91669999999999,10.792293,100.0,905.0,1005.0
37,2011-02-06,4,0,1,13,0,0,0,2,14.76,17.424999999999997,66.0,8.9981,11,64,75,2011-02-06,4.0,0.0,2.0,0.0,0.0,0.0,1.0,11.719153,14.58355,56.833299999999994,9.5006,354.0,1269.0,1623.0
38,2011-02-07,4,0,1,14,0,0,0,3,14.76,17.424999999999997,76.0,12.998000000000001,4,55,59,2011-02-07,4.0,0.0,2.0,0.0,1.0,1.0,1.0,11.138347,15.1829,73.83330000000001,3.0423561,120.0,1592.0,1712.0
39,2011-02-08,4,0,1,15,0,0,0,3,13.940000000000001,16.665,81.0,11.0014,19,55,74,2011-02-08,4.0,0.0,2.0,0.0,2.0,1.0,1.0,9.054153,9.9123,53.7917,24.25065,64.0,1466.0,1530.0
40,2011-02-09,4,0,1,16,0,0,0,3,13.940000000000001,16.665,71.0,11.0014,9,67,76,2011-02-09,4.0,0.0,2.0,0.0,3.0,1.0,2.0,5.526102999999999,7.21415,49.4783,12.652213,53.0,1552.0,1605.0
41,2011-02-10,4,0,1,17,0,0,0,1,13.940000000000001,16.665,56.99999999999999,12.998000000000001,7,58,65,2011-02-10,4.0,0.0,2.0,0.0,4.0,1.0,1.0,5.918268,7.477399999999999,43.7391,14.869645,47.0,1491.0,1538.0
42,2011-02-11,4,0,1,18,0,0,0,2,14.76,16.665,46.0,22.0028,10,43,53,2011-02-11,4.0,0.0,2.0,0.0,5.0,1.0,1.0,7.752731000000001,10.67545,50.6364,7.272849999999999,149.0,1597.0,1746.0
43,2011-02-12,4,0,1,19,0,0,0,1,13.120000000000001,14.395,42.0,30.002599999999997,1,29,30,2011-02-12,4.0,0.0,2.0,0.0,6.0,0.0,1.0,9.1225,11.6477,54.4167,13.625589,288.0,1184.0,1472.0
44,2011-02-13,4,0,1,20,0,0,0,1,12.299999999999999,13.635,39.0,23.9994,5,17,22,2011-02-13,4.0,0.0,2.0,0.0,0.0,0.0,1.0,12.977402000000001,16.20565,45.7391,17.479160999999998,397.0,1192.0,1589.0
45,2011-02-14,4,0,1,21,0,0,0,1,10.66,11.365,44.0,22.0028,11,20,31,2011-02-14,4.0,0.0,2.0,0.0,1.0,1.0,1.0,17.015,19.9175,37.583299999999994,27.999836,208.0,1705.0,1913.0
46,2011-02-15,4,0,1,22,0,0,0,1,9.84,10.605,44.0,19.999499999999998,0,9,9,2011-02-15,4.0,0.0,2.0,0.0,2.0,1.0,1.0,10.909567000000001,12.7137,31.434800000000003,19.522058,140.0,1675.0,1815.0
47,2011-02-16,4,0,1,23,0,0,0,1,9.02,11.365,47.0,11.0014,0,8,8,2011-02-16,4.0,0.0,2.0,0.0,3.0,1.0,1.0,13.048701000000001,15.809999999999999,42.3478,16.869996999999998,218.0,1897.0,2115.0
48,2011-02-17,4,0,1,0,0,1,1,1,9.02,9.85,44.0,23.9994,0,5,5,2011-02-17,4.0,0.0,2.0,0.0,4.0,1.0,1.0,17.869153,21.4329,50.5,15.416968,259.0,2216.0,2475.0
49,2011-02-18,4,0,1,1,0,1,1,1,8.200000000000001,8.334999999999999,44.0,27.999299999999998,0,2,2,2011-02-18,4.0,0.0,2.0,0.0,5.0,1.0,1.0,21.388347,25.599149999999998,51.6667,17.749975000000003,579.0,2348.0,2927.0
50,2011-02-19,4,0,1,4,0,1,1,1,6.5600000000000005,6.819999999999999,47.0,26.0027,0,1,1,2011-02-19,4.0,0.0,2.0,0.0,6.0,0.0,1.0,16.365847,19.5702,18.7917,34.000021,532.0,1103.0,1635.0
51,2011-02-20,4,0,1,5,0,1,1,1,6.5600000000000005,6.819999999999999,47.0,19.0012,0,3,3,2011-02-20,4.0,0.0,2.0,0.0,0.0,0.0,1.0,11.693897,13.8665,40.7826,14.956745,639.0,1173.0,1812.0
52,2011-02-21,4,0,1,6,0,1,1,1,5.74,5.305,50.0,26.0027,0,30,30,2011-02-21,4.0,0.0,2.0,1.0,1.0,0.0,2.0,12.436653000000002,14.203750000000001,60.5,20.625682,195.0,912.0,1107.0
53,2011-02-22,4,0,1,7,0,1,1,1,5.74,6.819999999999999,50.0,12.998000000000001,1,63,64,2011-02-22,4.0,0.0,2.0,0.0,2.0,1.0,1.0,7.471102,9.30165,57.7778,13.110761,74.0,1376.0,1450.0
54,2011-02-23,4,0,1,8,0,1,1,1,5.74,6.0600000000000005,50.0,19.0012,1,153,154,2011-02-23,4.0,0.0,2.0,0.0,3.0,1.0,1.0,9.091299,12.28585,42.3043,6.3055710000000005,139.0,1778.0,1917.0
55,2011-02-24,4,0,1,9,0,1,1,1,6.5600000000000005,6.819999999999999,43.0,26.0027,7,81,88,2011-02-24,4.0,0.0,2.0,0.0,4.0,1.0,2.0,12.121732000000002,14.459549999999998,69.7391,16.783231999999998,100.0,1707.0,1807.0
56,2011-02-25,4,0,1,10,0,1,1,1,7.38,8.334999999999999,43.0,16.997899999999998,11,33,44,2011-02-25,4.0,0.0,2.0,0.0,5.0,1.0,2.0,14.938268,17.52305,71.2174,23.218113,120.0,1341.0,1461.0
57,2011-02-26,4,0,1,11,0,1,1,1,8.200000000000001,9.09,40.0,22.0028,10,41,51,2011-02-26,4.0,0.0,2.0,0.0,6.0,0.0,1.0,11.5825,14.1096,53.7917,12.500257,424.0,1545.0,1969.0
58,2011-02-27,4,0,1,12,0,1,1,1,9.02,10.605,35.0,19.999499999999998,13,48,61,2011-02-27,4.0,0.0,2.0,0.0,0.0,0.0,1.0,14.082598,17.55545,68.0,8.391615999999999,694.0,1708.0,2402.0
59,2011-02-28,4,0,1,13,0,1,1,1,9.84,10.605,35.0,19.0012,8,53,61,2011-02-28,4.0,0.0,2.0,0.0,1.0,1.0,2.0,16.698193,20.005899999999997,87.63640000000001,19.408962,81.0,1365.0,1446.0
60,2011-03-01,4,0,1,14,0,1,1,1,10.66,12.120000000000001,30.0,19.0012,11,66,77,2011-03-01,1.0,0.0,3.0,0.0,2.0,1.0,1.0,10.933347,13.19395,53.5,14.500475,137.0,1714.0,1851.0
61,2011-03-02,4,0,1,15,0,1,1,1,10.66,12.120000000000001,30.0,16.997899999999998,14,58,72,2011-03-02,1.0,0.0,3.0,0.0,3.0,1.0,1.0,13.735000000000001,16.00355,44.9583,20.624811,231.0,1903.0,2134.0
62,2011-03-03,4,0,1,16,0,1,1,1,10.66,12.120000000000001,30.0,16.997899999999998,9,67,76,2011-03-03,1.0,0.0,3.0,0.0,4.0,1.0,1.0,8.131653,10.00665,31.833299999999998,15.125518000000001,123.0,1562.0,1685.0
63,2011-03-04,4,0,1,17,0,1,1,1,9.84,11.365,30.0,15.001299999999999,11,146,157,2011-03-04,1.0,0.0,3.0,0.0,5.0,1.0,2.0,10.728347,12.783949999999999,61.0417,13.624182,214.0,1730.0,1944.0
64,2011-03-05,4,0,1,18,0,1,1,1,9.84,12.879999999999999,32.0,7.0015,9,148,157,2011-03-05,1.0,0.0,3.0,0.0,6.0,0.0,2.0,15.750846999999998,18.93895,78.91669999999999,16.875357,640.0,1437.0,2077.0
65,2011-03-06,4,0,1,19,0,1,1,1,8.200000000000001,12.879999999999999,47.0,0.0,8,102,110,2011-03-06,1.0,0.0,3.0,0.0,0.0,0.0,2.0,15.437402,18.3126,94.8261,23.000229,114.0,491.0,605.0
66,2011-03-07,4,0,1,20,0,1,1,1,8.200000000000001,11.365,47.0,7.0015,3,49,52,2011-03-07,1.0,0.0,3.0,0.0,1.0,1.0,1.0,10.731299,11.92305,55.1304,22.870584,244.0,1628.0,1872.0
67,2011-03-08,4,0,1,21,0,1,1,1,7.38,9.85,64.0,8.9981,3,49,52,2011-03-08,1.0,0.0,3.0,0.0,2.0,1.0,1.0,11.9925,15.120000000000001,42.0833,8.083549999999999,316.0,1817.0,2133.0
68,2011-03-09,4,0,1,22,0,1,1,1,5.74,7.575,69.0,8.9981,0,20,20,2011-03-09,1.0,0.0,3.0,0.0,3.0,1.0,2.0,12.129153,14.3304,77.5417,14.750050000000002,191.0,1700.0,1891.0
69,2011-03-10,4,0,1,23,0,1,1,1,7.38,10.605,55.00000000000001,7.0015,1,11,12,2011-03-10,1.0,0.0,3.0,0.0,4.0,1.0,3.0,15.952731,19.2834,0.0,17.545759,46.0,577.0,623.0
70,2011-03-11,4,0,1,0,0,2,1,1,6.5600000000000005,9.09,55.00000000000001,7.0015,0,5,5,2011-03-11,1.0,0.0,3.0,0.0,5.0,1.0,2.0,12.977402000000001,15.25,64.95649999999999,15.60899,247.0,1730.0,1977.0
71,2011-03-12,4,0,1,1,0,2,1,1,6.5600000000000005,9.09,59.0,7.0015,0,2,2,2011-03-12,1.0,0.0,3.0,0.0,6.0,0.0,1.0,13.495847,16.287499999999998,59.458299999999994,14.791924999999999,724.0,1408.0,2132.0
72,2011-03-13,4,0,1,2,0,2,1,1,5.74,7.575,63.0,8.9981,0,1,1,2011-03-13,1.0,0.0,3.0,0.0,0.0,0.0,1.0,15.758268000000001,19.004550000000002,52.73910000000001,18.130468,982.0,1435.0,2417.0
73,2011-03-14,4,0,1,4,0,2,1,1,5.74,9.09,63.0,6.0032,0,2,2,2011-03-14,1.0,0.0,3.0,0.0,1.0,1.0,1.0,13.333896999999999,16.6,49.695699999999995,9.174042,359.0,1687.0,2046.0
74,2011-03-15,4,0,1,5,0,2,1,1,4.92,7.575,68.0,7.0015,0,4,4,2011-03-15,1.0,0.0,3.0,0.0,2.0,1.0,2.0,13.013031,15.908900000000001,65.5652,12.348703,289.0,1767.0,2056.0
75,2011-03-16,4,0,1,6,0,2,1,1,4.92,7.575,74.0,7.0015,0,36,36,2011-03-16,1.0,0.0,3.0,0.0,3.0,1.0,2.0,14.973897000000001,18.3465,77.65220000000001,13.608839,321.0,1871.0,2192.0
76,2011-03-17,4,0,1,7,0,2,1,1,4.92,7.575,74.0,8.9981,2,92,94,2011-03-17,1.0,0.0,3.0,0.0,4.0,1.0,1.0,17.015,20.51665,60.291700000000006,14.041792999999998,424.0,2320.0,2744.0
77,2011-03-18,4,0,1,8,0,2,1,1,5.74,7.575,69.0,11.0014,2,177,179,2011-03-18,1.0,0.0,3.0,0.0,5.0,1.0,1.0,22.14,26.35045,52.5217,15.478139,884.0,2355.0,3239.0
78,2011-03-19,4,0,1,9,0,2,1,1,6.5600000000000005,7.575,64.0,15.001299999999999,2,98,100,2011-03-19,1.0,0.0,3.0,0.0,6.0,0.0,1.0,19.3725,23.32625,37.9167,24.667189,1424.0,1693.0,3117.0
79,2011-03-20,4,0,1,10,0,2,1,2,6.5600000000000005,6.819999999999999,69.0,22.0028,5,37,42,2011-03-20,1.0,0.0,3.0,0.0,0.0,0.0,1.0,13.6325,16.287499999999998,47.375,13.917307,1047.0,1424.0,2471.0
80,2011-03-21,4,0,1,11,0,2,1,1,9.02,10.605,51.0,19.999499999999998,7,50,57,2011-03-21,1.0,0.0,3.0,0.0,1.0,1.0,2.0,17.647835,20.48675,73.73910000000001,19.348461,401.0,1676.0,2077.0
81,2011-03-22,4,0,1,12,0,2,1,1,9.02,11.365,51.0,11.0014,12,66,78,2011-03-22,1.0,0.0,3.0,0.0,2.0,1.0,1.0,18.108347,22.0321,62.4583,15.125250000000001,460.0,2243.0,2703.0
82,2011-03-23,4,0,1,13,0,2,1,1,9.84,11.365,56.00000000000001,12.998000000000001,18,79,97,2011-03-23,1.0,0.0,3.0,0.0,3.0,1.0,2.0,14.225237,16.89695,83.9565,15.695487,203.0,1918.0,2121.0
83,2011-03-24,4,0,1,14,0,2,1,1,10.66,12.879999999999999,52.0,15.001299999999999,9,54,63,2011-03-24,1.0,0.0,3.0,0.0,4.0,1.0,2.0,11.684999999999999,13.541649999999999,80.58330000000001,16.333729,166.0,1699.0,1865.0
84,2011-03-25,4,0,1,15,0,2,1,1,11.48,13.635,52.0,16.997899999999998,17,48,65,2011-03-25,1.0,0.0,3.0,0.0,5.0,1.0,1.0,10.830846999999999,12.8156,49.5,15.458575000000002,300.0,1910.0,2210.0
85,2011-03-26,4,0,1,16,0,2,1,1,12.299999999999999,14.395,49.0,16.997899999999998,15,68,83,2011-03-26,1.0,0.0,3.0,0.0,6.0,0.0,1.0,10.899153,12.87855,39.4167,14.041257,981.0,1515.0,2496.0
86,2011-03-27,4,0,1,17,0,2,1,1,11.48,13.635,48.0,15.001299999999999,10,202,212,2011-03-27,1.0,0.0,3.0,0.0,0.0,0.0,2.0,10.374763000000002,12.51695,49.3913,12.348099999999999,472.0,1221.0,1693.0
87,2011-03-28,4,0,1,18,0,2,1,1,10.66,12.879999999999999,48.0,12.998000000000001,3,179,182,2011-03-28,1.0,0.0,3.0,0.0,1.0,1.0,1.0,10.838268000000001,12.878700000000002,30.2174,14.217668,222.0,1806.0,2028.0
88,2011-03-29,4,0,1,19,0,2,1,1,9.84,12.879999999999999,48.0,7.0015,2,110,112,2011-03-29,1.0,0.0,3.0,0.0,2.0,1.0,1.0,12.4025,14.6454,31.4167,15.208732,317.0,2108.0,2425.0
89,2011-03-30,4,0,1,20,0,2,1,1,9.84,12.879999999999999,48.0,7.0015,1,53,54,2011-03-30,1.0,0.0,3.0,0.0,3.0,1.0,2.0,12.299999999999999,14.8675,64.6667,11.583495999999998,168.0,1368.0,1536.0
90,2011-03-31,4,0,1,21,0,2,1,1,9.02,13.635,64.0,0.0,0,48,48,2011-03-31,1.0,0.0,3.0,0.0,4.0,1.0,3.0,11.001653,12.87875,91.8333,14.582282000000001,179.0,1506.0,1685.0
91,2011-04-01,4,0,1,22,0,2,1,1,9.02,12.879999999999999,64.0,6.0032,1,34,35,2011-04-01,1.0,0.0,4.0,0.0,5.0,1.0,2.0,12.299999999999999,14.172699999999999,68.625,17.333436,307.0,1920.0,2227.0
92,2011-04-02,4,0,1,23,0,2,1,1,8.200000000000001,11.365,69.0,6.0032,2,9,11,2011-04-02,1.0,0.0,4.0,0.0,6.0,0.0,2.0,12.915000000000001,15.78185,65.375,13.208782,898.0,1354.0,2252.0
93,2011-04-03,4,0,1,0,0,3,1,1,8.200000000000001,12.879999999999999,64.0,0.0,0,6,6,2011-04-03,1.0,0.0,4.0,0.0,0.0,0.0,1.0,15.511652999999999,18.93835,48.0,12.208271000000002,1651.0,1598.0,3249.0
94,2011-04-04,4,0,1,1,0,3,1,1,6.5600000000000005,9.85,74.0,6.0032,0,6,6,2011-04-04,1.0,0.0,4.0,0.0,1.0,1.0,1.0,23.506653,27.14645,42.625,25.833257,734.0,2381.0,3115.0
95,2011-04-05,4,0,1,2,0,3,1,1,6.5600000000000005,9.85,74.0,6.0032,0,2,2,2011-04-05,1.0,0.0,4.0,0.0,2.0,1.0,2.0,16.980847,19.9175,64.2083,26.000488999999998,167.0,1628.0,1795.0
96,2011-04-06,4,0,1,4,0,3,1,1,9.84,11.365,48.0,15.001299999999999,0,2,2,2011-04-06,1.0,0.0,4.0,0.0,3.0,1.0,1.0,16.024153,19.3804,47.0833,17.625221,413.0,2395.0,2808.0
97,2011-04-07,4,0,1,5,0,3,1,1,9.02,11.365,47.0,11.0014,0,3,3,2011-04-07,1.0,0.0,4.0,0.0,4.0,1.0,1.0,17.9375,21.684800000000003,60.291700000000006,10.874904,571.0,2570.0,3141.0
98,2011-04-08,4,0,1,6,0,3,1,1,8.200000000000001,9.85,47.0,15.001299999999999,0,33,33,2011-04-08,1.0,0.0,4.0,0.0,5.0,1.0,2.0,13.769153,16.223950000000002,83.625,15.208464,172.0,1299.0,1471.0
99,2011-04-09,4,0,1,7,0,3,1,1,7.38,9.09,43.0,12.998000000000001,1,87,88,2011-04-09,1.0,0.0,4.0,0.0,6.0,0.0,2.0,14.0425,17.07645,87.75,8.916561,879.0,1576.0,2455.0
100,2011-04-10,4,0,1,8,0,3,1,1,8.200000000000001,9.09,40.0,19.999499999999998,3,192,195,2011-04-10,1.0,0.0,4.0,0.0,0.0,0.0,2.0,17.493347,21.33685,85.75,9.833389,1188.0,1707.0,2895.0
101,2011-04-11,4,0,1,9,0,3,1,1,9.02,9.85,37.0,22.0028,6,109,115,2011-04-11,1.0,0.0,4.0,0.0,1.0,1.0,2.0,24.421732,28.260849999999998,71.6956,21.739758,855.0,2493.0,3348.0
102,2011-04-12,4,0,1,10,0,3,1,1,9.02,9.85,37.0,22.0028,4,53,57,2011-04-12,1.0,0.0,4.0,0.0,2.0,1.0,2.0,20.6025,24.6527,73.9167,18.416892999999998,257.0,1777.0,2034.0
103,2011-04-13,4,0,1,11,0,3,1,1,10.66,11.365,33.0,22.0028,12,34,46,2011-04-13,1.0,0.0,4.0,0.0,3.0,1.0,2.0,16.912499999999998,20.864150000000002,81.91669999999999,16.791338999999997,209.0,1953.0,2162.0
104,2011-04-14,4,0,1,12,0,3,1,1,10.66,11.365,33.0,22.0028,5,74,79,2011-04-14,1.0,0.0,4.0,0.0,4.0,1.0,1.0,19.1675,23.1371,54.041700000000006,7.4169,529.0,2738.0,3267.0
105,2011-04-15,4,0,1,13,0,3,1,1,11.48,12.879999999999999,30.0,19.999499999999998,6,65,71,2011-04-15,1.0,0.0,4.0,1.0,5.0,0.0,1.0,18.313347,22.09565,67.125,15.167124999999999,642.0,2484.0,3126.0
106,2011-04-16,4,0,1,14,0,3,1,1,12.299999999999999,14.395,28.000000000000004,12.998000000000001,10,52,62,2011-04-16,1.0,0.0,4.0,0.0,6.0,0.0,3.0,17.664153000000002,21.2746,88.83330000000001,22.834136,121.0,674.0,795.0
107,2011-04-17,4,0,1,15,0,3,1,1,12.299999999999999,14.395,28.000000000000004,12.998000000000001,7,55,62,2011-04-17,1.0,0.0,4.0,0.0,0.0,0.0,1.0,18.723347,22.2848,47.9583,20.334232,1558.0,2186.0,3744.0
108,2011-04-18,4,0,1,16,0,3,1,1,12.299999999999999,15.909999999999998,28.000000000000004,6.0032,4,85,89,2011-04-18,1.0,0.0,4.0,0.0,1.0,1.0,1.0,21.0125,25.1573,54.25,10.958988999999999,669.0,2760.0,3429.0
